,License_plate_number,Distance,Number_of_Trips_Completed,Average_Speed,Transporter_Name,Number_of_Speed_Violations
0,GJ12AT7926,357794692.0603039,1,20.81520428098191,Jai Ganesh Transport,215
1,GJ12AT7926,357794692.0603039,1,20.81520428098191,Jai Ganesh Transport,215
2,GJ12BT3686,962770516.0947475,1,13.73080853318531,Ashv Petroleum,42
3,GJ12BT3686,962770516.0947475,1,13.73080853318531,Ashv Petroleum,42
4,GJ12BT3686,962770516.0947475,1,13.73080853318531,Ashv Petroleum,42
5,GJ03BV5664,582520350.8972011,1,30.293393927138432,Shree Ravechi Roadlines,6359
6,GJ03BV5664,582520350.8972011,1,30.293393927138432,Shree Ravechi Roadlines,6359
7,GJ10V5925,459137710.78147864,1,15.805752200479125,Balaji Transport,74
8,GJ3W7352,990003810.3988755,1,12.545734012618844,Nandkishor Roadlines,170
9,GJ3W7352,990003810.3988755,1,12.545734012618844,Nandkishor Roadlines,170
10,GJ06TT8169,1027795759.7979811,1,9.917835550908064,Maa Trading Company,2
11,GJ13AT8909,1057838241.6003939,1,14.835888487508242,Gopinath Petrolium Company,2
12,HR45B8761,387882627.9421727,1,20.5416486707871,Ahuja Service Station,119
13,HR45B8761,387882627.9421727,1,20.5416486707871,Ahuja Service Station,119
14,GJ11TT9978,12150629.172152745,1,22.309341500765697,Bhagyoday Petroleum,0
15,GJ11TT9978,12150629.172152745,1,22.309341500765697,Bhagyoday Petroleum,0
16,GJ05UU8666,821929287.6165411,1,5.087524274071469,Bajrang Transport,0
17,GJ21T7015,215649998.42378697,1,6.440065923070131,R.K.Bulk Carriers,21
18,HR47D2625,363848207.7898197,1,21.50814470065581,S.R.Filling Station,7
19,GJ21T6780,970567051.7638341,1,12.75874428613265,R.K.Bulk Carriers,664
20,GJ21T6780,970567051.7638341,1,12.75874428613265,R.K.Bulk Carriers,664
21,GJ12Z0164,998084888.9333267,1,9.977229718865567,Jai Ganesh Transport,4
22,GJ12Z2526,1116213420.0692096,1,10.721959780137304,Balaji Transport,1
23,GJ16Z2259,995308304.6682912,1,16.962290537362936,Gaurav Petroleum,3
24,GJ07YY6445,935522164.0169456,1,11.882096331619469,Swami Traders,1
25,GJ06TT7206,911830952.0312163,1,11.941411833906722,Maa Trading Company,3
26,GJ06TT7206,911830952.0312163,1,11.941411833906722,Maa Trading Company,3
27,GJ02XX6966,1069474264.8271368,1,12.625576522370238,Madhav Petroleum,0
28,HR39B7594,359788297.20242155,1,7.667900337056374,Balaji Service Station,26
29,GJ07YY6445,935522164.0169456,1,11.882096331619469,Swami Traders,1
30,HR39B7594,359788297.20242155,1,7.667900337056374,Balaji Service Station,26
31,HR45B8611,971191985.0869901,1,7.103934324659232,Shree Shyam Singh Sadhu Singh,43
32,GJ3W7353,713235671.1987395,1,17.14591478653094,Nandkishor Roadlines,0
33,BR01GF0281,62368224.3786671,1,14.48356286095069,Vivek Fuels,4
34,GJ3W7353,713235671.1987395,1,17.14591478653094,Nandkishor Roadlines,0
35,HR45B6109,1002727347.9136237,1,8.841560073553572,Ahuja Service Station,1
36,HR45B4286,408568257.57883596,1,23.32483886538516,Ahuja Service Station,6
37,HR46D6654,530859619.84874254,1,26.05287662848649,SRR Filling Station,22
38,GJ18X8616,1068205669.6815834,1,9.639707067683025,Maruti Roadways,4
39,GJ18X8616,1068205669.6815834,1,9.639707067683025,Maruti Roadways,4
40,HR61B4256,838912904.8447772,1,14.769463356581424,Guru Jambheswar Fuels,218
41,HR47D2625,363848207.7898197,1,21.50814470065581,S.R.Filling Station,7
